1.5,935,[3 5 3 3 6],1,3.33333333,20,5,0.7755555544444445,0.8074074061925927,0.7699477352549702
1.5,935,[ 6 14  4 15 11],1,3.33333333,50,5,0.45982222177777776,0.48696488639095725,0.4454674591744936
1.5,935,[11 23  6 38 22],1,3.33333333,100,5,0.3725111108888889,0.36569971227906833,0.3377706172271488
1.5,935,[17 54 11 84 34],1,3.33333333,200,5,0.3440055554444445,0.2931411844581703,0.2802333843631548
1.5,935,[ 28 133  16 262  61],1,3.33333333,500,5,0.38659822217777773,0.2559748084315382,0.24788029276523604
1.5,935,[ 33 214  20 640  93],1,3.33333333,1000,5,0.4766451110888889,0.2432404957674457,0.2370892345266523
1.5,935,[  36  319   27 1497  121],1,3.33333333,2000,5,0.5954145555444444,0.2341698117249881,0.2300185635853111
1.5,935,[  45  493   32 4277  153],1,3.33333333,5000,5,0.7447116622177778,0.22767572272020878,0.22462262477920647
1.5,935,[  51  620   34 9117  178],1,3.33333333,10000,5,0.8365064111088889,0.22504896608345748,0.2223592734027152
1.5,935,[   51   717    35 18999   198],1,3.33333333,20000,5,0.9043533555544444,0.22430093828376915,0.2216721975626002
1.5,935,[   55   806    35 48889   215],1,3.33333333,50000,5,0.9565559950217778,0.22340691498962767,0.22084788061665114
1.5,935,[   55   871    36 98816   222],1,3.33333333,100000,5,0.976652521310889,0.2229432559134339,0.22047261036408164
1,935,[3 5 3 3 6],1,3.33333333,20,5,0.7755555544444445,0.8074074061925927,0.7699477352549702
1,935,[ 6 13  9  3 19],1,3.33333333,50,5,0.4846222217777778,0.5291847846667666,0.45852032406640436
1,935,[ 9 22 18 11 40],1,3.33333333,100,5,0.37211111088888893,0.34579124549966334,0.33218617398688494
1,935,[11 46 37 27 79],1,3.33333333,200,5,0.3199555554444445,0.28416467238991017,0.27343784253777687
1,935,[ 22 111  92  62 213],1,3.33333333,500,5,0.30415022217777776,0.23829199442108778,0.23451471027056003
1,935,[ 51 236 190 135 388],1,3.33333333,1000,5,0.2742771110888889,0.21737467381530454,0.21659033419797408
1,935,[104 510 372 267 747],1,3.33333333,2000,5,0.2652050555444444,0.2085992654982934,0.20839662273751922
1,935,[ 280 1194  957  706 1863],1,3.33333333,5000,5,0.2577858222177778,0.20329203592073966,0.20326393232619316
1,935,[ 565 2394 1907 1427 3707],1,3.33333333,10000,5,0.2557639911088889,0.2016366831340771,0.20162971204442068
1,935,[1142 4746 3719 2951 7442],1,3.33333333,20000,5,0.25493407055444445,0.20081266250517407,0.20081095875666957
1,935,[ 2917 11730  9393  7442 18518],1,3.33333333,50000,5,0.25327419262177775,0.20032129142480182,0.200321032558293
1,935,[ 5764 23646 18735 15140 36715],1,3.33333333,100000,5,0.2521679173108889,0.2001610862835977,0.20016101938543185
0.5,935,[3 5 3 3 6],1,3.33333333,20,5,0.7755555544444445,0.8074074061925927,0.7699477352549702
0.5,935,[11  9  6 11 13],1,3.33333333,50,5,0.4334222217777778,0.43845290464266595,0.4287597374222185
0.5,935,[29 16 20 16 19],1,3.33333333,100,5,0.3225111108888889,0.31649526090836866,0.31474521396312494
0.5,935,[59 31 35 38 37],1,3.33333333,200,5,0.2675555554444445,0.2582762052748439,0.25776424093959316
0.5,935,[120  91  89 107  93],1,3.33333333,500,5,0.22502222217777776,0.22251412526301198,0.22248645922848714
0.5,935,[236 184 169 222 189],1,3.33333333,1000,5,0.21422911108888887,0.21128210677881903,0.21127315982282258
0.5,935,[488 372 331 399 410],1,3.33333333,2000,5,0.20890305554444444,0.2056461290827245,0.20564370005790758
0.5,935,[1126  990  869  995 1020],1,3.33333333,5000,5,0.20356470221777778,0.202237495882602,0.20223732247362972
0.5,935,[2177 1945 1784 2049 2045],1,3.33333333,10000,5,0.2019654711088889,0.20111602895914263,0.20111600069399432
0.5,935,[4331 3914 3681 4060 4014],1,3.33333333,20000,5,0.20111184055444445,0.20055710463827867,0.20055710032151236
0.5,935,[10548  9927  9518  9933 10074],1,3.33333333,50000,5,0.2004413910217778,0.20022246405051056,0.20022246378358496
0.5,935,[20860 19720 19409 19909 20102],1,3.33333333,100000,5,0.20022970771088888,0.2001111759557843,0.2001111759203294
1.5,8822,[9 5 1 2 3],1,3.33333333,20,5,0.8555555544444444,1.1530864178469136,0.8294843553094697
1.5,8822,[25 14  2  3  6],1,3.33333333,50,5,0.5702222217777778,0.6939682529803175,0.5087453408293012
1.5,8822,[63 20  4  4  9],1,3.33333333,100,5,0.559311110888889,0.500881833613404,0.40488162795272914
1.5,8822,[149  31   4   5  11],1,3.33333333,200,5,0.6386555554444445,0.45772380607174934,0.36505814515848045
1.5,8822,[431  44   4   9  12],1,3.33333333,500,5,0.7739742221777778,0.40866306748781445,0.33281130553614086
1.5,8822,[917  55   4  10  14],1,3.33333333,1000,5,0.8553371110888888,0.3958670672310587,0.32093731721606444
1.5,8822,[1905   64    4   11   16],1,3.33333333,2000,5,0.9139340555444444,0.38647067753474446,0.3126338972622619
1.5,8822,[4891   74    4   13   18],1,3.33333333,5000,5,0.9593368622177778,0.37608737882932286,0.30400846394227626
1.5,8822,[9885   78    4   14   19],1,3.33333333,10000,5,0.9783099311088889,0.37199192257837593,0.3005337542910539
1.5,8822,[19877    84     4    14    21],1,3.33333333,20000,5,0.9883126505544444,0.36933452870809025,0.2977230614617251
1.5,8822,[49875    85     4    15    21],1,3.33333333,50000,5,0.9952316350217778,0.3671424309072176,0.29609244942881935
1.5,8822,[99874    86     4    15    21],1,3.33333333,100000,5,0.997593506510889,0.36707717027844766,0.29597835040093967
1,8822,[9 5 1 2 3],1,3.33333333,20,5,0.8555555544444444,1.1530864178469136,0.8294843553094697
1,8822,[24  7  3  7  9],1,3.33333333,50,5,0.5278222217777778,0.5430335090141094,0.47244183508237536
1,8822,[53 12  7 17 11],1,3.33333333,100,5,0.45231111088888887,0.37546267566668967,0.352776724349541
1,8822,[104  27  14  32  23],1,3.33333333,200,5,0.3879055554444445,0.2856930015844177,0.2788632543912517
1,8822,[237  82  33  98  50],1,3.33333333,500,5,0.32656622217777775,0.23418739689589335,0.23253947629332816
1,8822,[457 175  56 203 109],1,3.33333333,1000,5,0.30681111108888887,0.2177155700445058,0.2170799142910068
1,8822,[905 332 114 429 220],1,3.33333333,2000,5,0.2992270555444444,0.20878462543553297,0.2086221446939223
