1.5,7332,[ 3 16 10 11 10],1,4,50,5,0.5544,0.6395151515151516,0.5450978789488741
1.5,7332,[ 5 25 25 21 24],1,4,100,5,0.3892,0.4363428571428572,0.3809269857061206
1.5,7332,[ 5 55 52 40 48],1,4,200,5,0.32145,0.3812773892773893,0.3084768143413058
1.5,7332,[  6 148 140  84 122],1,4,500,5,0.28591999999999995,0.32842736882081147,0.2633893886708766
1.5,7332,[  8 305 284 152 251],1,4,1000,5,0.27585,0.2911122088951005,0.24539922018260135
1.5,7332,[ 10 664 566 277 483],1,4,2000,5,0.2758425,0.2697301185450705,0.23546459805346215
1.5,7332,[  10 1864 1391  493 1242],1,4,5000,5,0.2910036,0.26661692063529446,0.231450393845536
1.5,7332,[  11 4153 2714  727 2395],1,4,10000,5,0.3103788,0.2597192914498305,0.22885713748873213
1,7332,[ 3 16 10 11 10],1,4,50,5,0.5544,0.6395151515151516,0.5450978789488741
1,7332,[ 5 28 20 23 24],1,4,100,5,0.3914,0.4373498964803313,0.38171464404653965
1,7332,[16 59 41 37 47],1,4,200,5,0.3049,0.29737153229857266,0.289845842271705
1,7332,[ 43 135 120  89 113],1,4,500,5,0.252656,0.237812523054421,0.23647402423946268
1,7332,[ 90 268 245 183 214],1,4,1000,5,0.235234,0.21859933767573317,0.21827157147562942
1,7332,[192 540 477 332 459],1,4,2000,5,0.2272245,0.20918228395144273,0.209109462201642
1,7332,[ 458 1329 1236  846 1131],1,4,5000,5,0.22314312,0.20371911644467738,0.2037050550068036
1,7332,[ 886 2638 2477 1714 2285],1,4,10000,5,0.22198589999999999,0.20187681582850314,0.20187285599861202
0.5,7332,[ 3 16 10 11 10],1,4,50,5,0.5544,0.6395151515151516,0.5450978789488741
0.5,7332,[ 7 26 19 20 28],1,4,100,5,0.387,0.40458530942741466,0.3761984110874564
0.5,7332,[23 44 37 44 52],1,4,200,5,0.29185,0.2865219856524205,0.28415312035529044
0.5,7332,[ 71 104 110 108 107],1,4,500,5,0.23628,0.23289334681621113,0.23273886749921768
0.5,7332,[157 200 226 209 208],1,4,1000,5,0.21866999999999998,0.21624741556195964,0.21622626820029184
0.5,7332,[334 415 430 407 414],1,4,2000,5,0.2094315,0.20806508372468105,0.20806224800920628
0.5,7332,[ 900 1017 1027 1032 1024],1,4,5000,5,0.20370472,0.2032087423121711,0.2032085934443504
0.5,7332,[1874 2016 2033 2020 2057],1,4,10000,5,0.2018087,0.20160174589895186,0.20160173141014234
1.5,253,[16  2 22  1  9],1,4,50,5,0.6504000000000001,1.3002020202020201,0.6215496192019703
1.5,253,[26  2 53  1 18],1,4,100,5,0.5414,1.2322464118690535,0.479269218047746
1.5,253,[ 48   4 118   1  29],1,4,200,5,0.50715,1.0408260276641341,0.39465401843720704
1.5,253,[ 89   5 359   1  46],1,4,500,5,0.587776,0.99088678451923,0.3516413488284722
1.5,253,[117   5 819   1  58],1,4,1000,5,0.70384,0.985286009010147,0.33999264196767826
1.5,253,[ 147    6 1774    1   72],1,4,2000,5,0.8014764999999999,0.9602700636812409,0.3286625386934988
1.5,253,[ 177    7 4724    1   91],1,4,5000,5,0.89743344,0.9422128360787068,0.3197583585176015
1.5,253,[ 199    7 9692    1  101],1,4,10000,5,0.9414471600000001,0.941047319336292,0.3174247972387619
1,253,[16  2 22  1  9],1,4,50,5,0.6504000000000001,1.3002020202020201,0.6215496192019703
1,253,[28  5 46  2 19],1,4,100,5,0.489,0.7184543968617194,0.4404582750716567
1,253,[62  7 85 10 36],1,4,200,5,0.39285000000000003,0.3910583416162164,0.3313752528374488
1,253,[152  18 220  27  83],1,4,500,5,0.349784,0.27408971985763364,0.26091485950884313
1,253,[303  39 431  63 164],1,4,1000,5,0.325956,0.2340685556080024,0.23085520916699842
1,253,[635  71 862 123 309],1,4,2000,5,0.32348,0.2180388673630656,0.21696904186188068
1,253,[1550  160 2172  314  804],1,4,5000,5,0.31882784,0.2075417989869977,0.20731558065402483
1,253,[3104  307 4362  631 1596],1,4,10000,5,0.31861486,0.20385286338880626,0.2037894038400939
0.5,253,[16  2 22  1  9],1,4,50,5,0.6504000000000001,1.3002020202020201,0.6215496192019703
